Nome,Telefone,Endereço,Avaliação,Avaliações,Site,Categoria,Campanha
SALÃO POPULAR,,"
R. Bom Jesus, 607 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Salão de beleza Pollyana,"
(31) 98670-5318","
R. Dom Viçoso, n° 90 - Mariana, MG, 35420-000",5.0,0,,Salão de Beleza,Barbearia - Mariana
BARBEARIA,,"
R. Piauí, 98 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia do João,"
(31) 99955-7272","
R. Gaivotas, 123 - Bairro Rosário, Mariana - MG, 35424-216",5.0,0,https://ikropp.com/barbeariadojoao,Barbearia,Barbearia - Mariana
Divino Toque Studio de Beleza,"
(31) 98767-3306","
R. Faisão, 3 - Dandara, Mariana - MG, 35425-009",5.0,0,,Salão de Beleza,Barbearia - Mariana
Dalva Cabeleireira,"
(31) 3557-2873","
R. Praia do Canela, 85 - Barro Preto, Mariana - MG, 35420-000",5.0,0,,Salão de Beleza,Barbearia - Mariana
Studio Ademar Silva,"
(31) 3557-3024","
R. Santana, 10 - Centro, Mariana - MG, 35424-009",5.0,0,,Salão de Beleza,Barbearia - Mariana
Barbearia Higor Gabriel,"
(31) 98845-0381","
R. Angelim, 53 - sala 1 - Bairro Rosário, Mariana - MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Elite barbearia,,"
R. Bom Jesus, 161 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Matheus Alves,"
(31) 99515-9230","
R. Piauí, 18 - Colina, Mariana - MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Maura Silva Studio de Beleza,"
(31) 99803-9447","
R. Wenceslau Braz, 267 - Mariana, MG, 35420-027",5.0,0,https://me.ahazou.com/maurasilvastudio/review,Salão de Beleza,Barbearia - Mariana
La Fênix Barbershop,,"
R. Alfonsus Guimarães, 57 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Helton Barbe ️,"
(31) 99739-1099","
R. do Canga, 167 - Passagem de Mariana, Mariana - MG, 35421-104",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Kaua Santos,"
(31) 99612-9735","
R. Diamantina, 832 - Cabanas, Mariana - MG, 35426-321",5.0,0,,Barbearia,Barbearia - Mariana
Centro de Beleza Luciane Carneiro,"
(31) 3558-2405","
Centro de Beleza Luciane Carneiro - R. Wenceslau Braz, 748 - Mariana, MG, 35420-000",5.0,0,,Salão de Beleza,Barbearia - Mariana
Kyrios Barbearia,"
(31) 98393-7377","
Praça da Estação, 159 - Centro, Mariana - MG, 35420-018",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia EBENÉZER,"
(31) 97123-6065","
Rodovia dos Inconfidentes, 28a - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Romanos,"
(31) 98926-7169","
R. Eugenio E. Rapallo, 621 - Passagem de Mariana, Mariana - MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
The King Kong Barbearia,"
(31) 98416-7511","
R. Pinho, 130 - Bairro Rosário, Mariana - MG, 35422-174",5.0,0,https://www.instagram.com/thekingkong_01?igsh=YjI5dzhrYjljZm41&utm_source=qr,Barbearia,Barbearia - Mariana
Barbearia G & M,,"
R. Waldemar de Oliveira Porto, 56 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Kleidir barbearia,"
(31) 98273-5601","
R. Conselheiro Lafaiete, 140 - Cabanas, Mariana - MG, 35426-405",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia do Ponto,"
(31) 99728-4740","
R. do Catete, 321 - Centro, Mariana - MG, 35420-057",5.0,0,,Barbearia,Barbearia - Mariana
Star Cabeleireiro,"
(31) 3557-4179","
R. Bom Jesus, 125 - Mariana, MG, 35420-000",5.0,0,,Lounge bar,Barbearia - Mariana
Barbearia Nova Imagem,"
(31) 98204-7334","
R. Wenceslau Braz - Mariana, MG, 35424-140",5.0,0,,Barbearia,Barbearia - Mariana
Bruno Barberpoint,"
(31) 98568-4395","
Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Perdiga do Corte,"
(31) 99922-9736","
R. Jorge Marquês, 180 - Sao Sebastiao, Mariana - MG, 35424-297",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Status,"
(31) 99678-4171","
R. Alfonsus Guimarães, 57 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
La Fénix Barbearia,"
(31) 99954-3965","
Rodovia dos Inconfidentes, 28 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Ebenézer,"
(31) 3558-1283","
R. do Contorno, 26 - Colina, Mariana - MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Studio Pastor Jesu,"
(31) 98653-2709","
R. Serra do Carmo - Mariana, MG, 35426-468",5.0,0,,Barbearia,Barbearia - Mariana
M.A Barbearia,"
(31) 98457-8606","
R. Diamantina, 622 - CABANAS, Mariana - MG, 35426-321",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia William Castro,"
(31) 98307-6679","
Praça Avelino De Souza Vieira, N° 31 - Barro Preto, Mariana - MG, 35424-185",5.0,0,https://www.instagram.com/barbeariawilliamcastro/,Barbearia,Barbearia - Mariana
INVICTUS BARBER,"
(31) 99995-1856","
R. Diamantina, 832 - Cabanas, Mariana - MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Lúmini Salão de beleza e Barbearia,"
(31) 97196-0725","
R. Pinho, 80 - Rosário, Mariana - MG, 35420-000",5.0,0,https://instagram.com/espacolumini_?igshid=7slzxbvni7jx,Salão de Beleza,Barbearia - Mariana
Barbearia Destak,"
(31) 98388-1946","
R. Amâncio Arinos de Queirós, 1 - São Sebastião, Mariana - MG, 35420-000",5.0,0,,Salão de Beleza,Barbearia - Mariana
Tribo's Barbearia,"
(31) 98418-2108","
R. da Esperança, 50 - Santa Clara, Mariana - MG, 35420-000",5.0,0,https://www.instagram.com/tribos_barbearia/,Barbearia,Barbearia - Mariana
Salão Hair Style,"
(31) 3558-2852","
35420-000, Mariana - MG",5.0,0,https://m.facebook.com/hairstyle4z/#_=_,Barbearia,Barbearia - Mariana
BARBEARIA OFICINA DO CORTE,,"
Rua: Antônio Olinto, 99 A - Centro, Mariana - MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Pyterson Barbearia,"
(31) 98217-9755","
Pico da cartucha - Mariana, MG, 35420-000",5.0,0,https://sites.appbarber.com.br/pytersonbarber-q92j,Barbearia,Barbearia - Mariana
Barbearia Tesoura de Ouro,"
(31) 98340-8120","
R. Ônix - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia auge,"
(31) 97164-2579","
R. Bom Jesus - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Gênesis,"
(31) 3560-2072","
R. Alfredo de Morais, 101 - Santana, Mariana - MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Gaby Frade Barbearia,"
(31) 98820-7757","
R. Direita, 19c - Centro, Mariana - MG, 35420-060",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Realce,"
(31) 3558-2222","
R. Cônego Amando, 571 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Popular do Paulo,"
(31) 98244-0655","
R. Antônio Olinto, 118 - Mariana, MG, 35420-000",5.0,0,http://facebook.com.br/BarbeariaPopuparPaulo,Barbearia,Barbearia - Mariana
BarbeariaGomes256,"
(31) 98499-6398","
R. Jatobá, 97 c - Bairro Rosário, Mariana - MG, 35422-162",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Canaã,"
(31) 98403-6908","
Av. Manuel Leandro Corrêa - Mariana, MG, 35424-179",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Espaço M,"
(31) 99646-4841","
Rua Diamantina, 622 Segundo Andar - Cabanas, Mariana - MG, 35420-000",5.0,0,http://barbeariaespacom6.booksy.com/s/,Barbearia,Barbearia - Mariana
Barbearia Maladeza,"
(31) 97173-3948","
Travessa Eurico Benjamin Miranda n:1 - Barro Preto, Mariana - MG, 35424-182",5.0,0,https://instagram.com/barbeariamaladeza_ofc?utm_medium=copy_link,Barbearia,Barbearia - Mariana
Barbearia Studio Jairo César,"
(31) 97599-0099","
R. Sen. Bawden, 33 - Mariana, MG, 35424-015",5.0,0,,Barbearia,Barbearia - Mariana
Barbearia Martins,"
(31) 98280-0596","
R. do Catete, 411 - Mariana, MG, 35420-057",5.0,0,https://sites.appbarber.com.br/agendamento/barbeariamartin-5w5y,Barbearia,Barbearia - Mariana
Barbudinho Barbearia,"
(31) 98633-2131","
R. do Aleijadinho, 403 - Santana, Mariana - MG, 35424-027",5.0,0,https://app.ikropp.com/calendar/barbudinho,Barbearia,Barbearia - Mariana
The Barber's Company,"
(31) 98211-4103","
R. Bom Jesus, 434 - Mariana, MG, 35420-000",5.0,0,https://www.instagram.com/thebarberscompanymariana/,Barbearia,Barbearia - Mariana
Barbearia do Rafa,"
(31) 98648-9436","
Rua - Tv. Bom Jesus, 9 - Mariana, MG, 35420-000",5.0,0,,Barbearia,Barbearia - Mariana
Kenin Barber,"
(31) 97102-8436","
R. África - Jardim Santana, Mariana - MG, 35422-406",5.0,0,https://app.ikropp.com/calendar/kenin.barber,Barbearia,Barbearia - Mariana
Barbearia Santorino,"
(31) 98463-0870","
R. Frei Durão, 172 - Centro, Mariana - MG, 35420-072",5.0,0,https://www.barbeariasantorino.com.br/,Barbearia,Barbearia - Mariana
barbearia barbershop.as,"
(31) 97230-5301","
Avenida Do Contorno - Mariana, MG, 35425-050",5.0,0,https://barbershop.as/,Barbearia,Barbearia - Mariana
Barba Negra Barbearia,,"
R. Cel. Silvestre Ferraz, 60 - Maria Da Fe, Maria da Fé - MG, 37517-000",5.0,0,,,Barbearia - Maria da Fé
Tribu's Barbearia,"
(35) 99194-8991","
Av. José de Campos Sales, 55 - 55, Maria da Fé - MG, 37517-000",5.0,0,,Barbearia,Barbearia - Maria da Fé
Nonato Barbearia,,"
R. Darcí de Souza Cardoso, Maria da Fé - MG, 37517-000",5.0,0,,Barbearia,Barbearia - Maria da Fé
Barbearia Spectacular BarberShop,"
(35) 99273-7489","
R. Arlíndo Zaroni - Centro, Maria da Fé - MG, 37517-000",5.0,0,https://booksy.com/pt-br/instant-experiences/widget/220729,Barbearia,Barbearia - Maria da Fé
Gb Barbearia,"
(35) 99973-0294","
Tv. Zéca Batista - Centro, Maria da Fé - MG, 37517-000",5.0,0,,Barbearia,Barbearia - Maria da Fé
Premier Men Barbershop,"
(35) 99717-9388","
Av. Sagrado Coração, 543 - Centro, Maria da Fé - MG, 37517-000",5.0,0,https://premier-men-barbershop.negocio.site/?utm_source=gmb&utm_medium=referral,Barbearia,Barbearia - Maria da Fé
Salão do Breno,,"
Praça Gov. Valadares - Mar de Espanha, MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
Barbearia Gustavinho do Corte,"
(32) 98401-0290","
R. Padre José de Anchieta - Jardim Guanabara, Mar de Espanha - MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
Barbearia dos faixas-pretas,"
(32) 99119-2049","
R. Henrique Tonetti - Mar de Espanha, MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
Barbearia Bigode Fino,"
(32) 98449-5811","
Av. Bueno Brandão, 260 - Mar de Espanha, MG, 36640-000",4.9,0,https://www.instagram.com/barbeariabigodefino07?igsh=amEzZm10ZzkxbnJk,Barbearia,Barbearia - Mar de Espanha
BARBER SHOP ALFA E ÔMEGA,"
(32) 98472-6924","
Rua: Luiz Rodrigues Martins - Floresta, Mar de Espanha - MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
Barbearia_do_jhoninha,"
(32) 99832-7364","
R. Euríco F Castro, 65 - Jardim Guanabara, Mar de Espanha - MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
Barbearia Novo Stillo,"
(32) 99927-2934","
R. Henrique Tonetti, 480 - Jardim Guanabara, Mar de Espanha - MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
QG Barbearia,"
(32) 3276-1157","
R. Estevão Pinto, 186 - 03 - Centro, Mar de Espanha - MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
A | C Barber,"
(32) 99963-7638","
R. Padre José de Anchieta, 165 - LJ 1 - Jardim Guanabara, Mar de Espanha - MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
Olavo Barbearia,"
(32) 98514-2133","
R. Geraldo Batista Pinto, 61 - Nossa Senhora das Merces, Mar de Espanha - MG, 36640-000",4.9,0,,Barbearia,Barbearia - Mar de Espanha
HOUSE JP BARBER,"
(37) 98423-0785","
R. Santa Luzia, 228 - Poção, Maravilhas - MG, 35666-000",5.0,0,,Barbearia,Barbearia - Maravilhas
Junior Black,"
(37) 99936-8308","
R. Cap. Paulino, 259 - Centro, Maravilhas - MG, 35666-000",5.0,0,,Barbearia,Barbearia - Maravilhas
BARBEARIA DO SAMUEL,,"
Av. Antônio Mateus, 315 - Mantena, MG, 35290-000",4.7,0,,Barbearia,Barbearia - Mantena
"Seu Aragão Barbearia | Barba, Cabelo e Bigode","
(27) 99860-8450","
Ao lado do Altas Horas - R. Juíz Thaurion Pimentel, 42 - Centro, Barra de São Francisco - ES, 29800-000",4.7,0,https://cashbarber.com.br/barbeariaaragao/inicio/agendamento/novo-agendamento,Barbearia,Barbearia - Mantena
ESTILO CARIOCA BARBEARIA,,"
R. Ver. Limiro Caldeira - Mantena, MG, 35290-000",4.7,0,,Barbearia,Barbearia - Mantena
Caetano Barbearia,,"
BR-381, 180 - Mantena, MG, 33060-112",4.7,0,,Barbearia,Barbearia - Mantena
Vitor Souza Studio Barber,"
(33) 99920-1437","
R. Pres. Tancredo Neves - Mantena, MG, 35290-000",4.7,0,,Barbearia,Barbearia - Mantena
Barbearia Nandu Corte,"
(33) 98739-4099","
Av. Antônio Mateus, 341 - Vila Nova, Mantena - MG, 35290-000",4.7,0,https://editontrabalho.wixsite.com/nanducorte,Barbearia,Barbearia - Mantena
Barbearia Flausino Luz,"
(33) 99826-9726","
R. Pres. Tancredo Neves, 565 - Centro, Mantena - MG, 35290-000",4.7,0,https://instagram.com/barbeariaflausinoluz,Barbearia,Barbearia - Mantena
Beta Barbearia,"
(33) 98730-0231","
R. Miguel Roas Huebra, 49 - Mantena, MG, 35290-000",4.7,0,https://www.betabarbearia.com.br/,Barbearia,Barbearia - Mantena
Barbearia 37,"
(27) 99769-8171","
381, Rod. ES-010, 381, Mantena - MG",4.7,0,,Barbearia,Barbearia - Mantena
Barbearia King Mantena,"
(33) 99807-4373","
R. Benedito Valadares, 11 - Mantena, MG, 35290-000",4.7,0,,Barbearia,Barbearia - Mantena
Barbearia Sr. Wilson,,"
Av. Agenor Carlos Werner, Manhumirim - MG, 36970-000",5.0,0,,Barbearia,Barbearia - Manhumirim
Barbearia CELMAR,"
(33) 98464-3496","
Av. Agenor Carlos Werner, 293 - Centro, Manhumirim - MG, 36970-000",5.0,0,,Barbearia,Barbearia - Manhumirim
Israel Jorge Barbearia,,"
Av. Juscelino Kubitscheck, 913, Manhumirim - MG, 36970-000",5.0,0,,Barbearia,Barbearia - Manhumirim
Barbearia HS,"
(33) 99922-4937","
Manhumirim - MG, 36970-000",5.0,0,,Barbearia,Barbearia - Manhumirim
